ward,target
21001001: Ward 1,17.57009657487414
21001002: Ward 2,13.068644827765857
21001003: Ward 3,21.137120850433156
21001004: Ward 4,16.487479584209307
21001005: Ward 5,20.935502466264868
21001006: Ward 6,24.394327746265525
21001007: Ward 7,13.251488869377662
21002001: Ward 1,17.298639914817247
21002002: Ward 2,17.042408968884292
21002003: Ward 3,22.8962406701018
21002004: Ward 4,20.37024122414853
21002005: Ward 5,17.32888933913041
21002006: Ward 6,16.295303734449114
21004001: Ward 1,14.433385418383235
21004002: Ward 2,23.994713724467452
21004003: Ward 3,16.934038906687217
21004004: Ward 4,11.796361542908368
21004005: Ward 5,22.86604346074807
21004006: Ward 6,21.677959794687684
21004007: Ward 7,25.00575617726754
21004008: Ward 8,15.522648352331856
21004009: Ward 9,22.840433087716
21004010: Ward 10,21.285679226476034
21004011: Ward 11,26.800181414027726
21004012: Ward 12,17.713436587352533
21004013: Ward 13,19.860395439079927
21004014: Ward 14,18.429505789951506
21005001: Ward 1,27.58176648964819
21005002: Ward 2,16.61942849333852
21005003: Ward 3,18.357104930547383
21005004: Ward 4,17.02206551449439
21005005: Ward 5,20.40238755329439
21005006: Ward 6,14.600605937787645
21005007: Ward 7,27.142693069154344
21005008: Ward 8,24.846998268755517
21005009: Ward 9,24.214740452519468
21005010: Ward 10,7.4992749317189356
21006001: Ward 1,22.252180233184603
21006002: Ward 2,17.952028518335183
21006003: Ward 3,17.2884600528375
21006004: Ward 4,23.945037167860995
21006005: Ward 5,23.187176218757322
21006006: Ward 6,17.69339843284224
21006007: Ward 7,12.793899330013634
21006008: Ward 8,18.261364011653416
21008001: Ward 1,13.080992417225099
21008002: Ward 2,16.135279111685456
21008003: Ward 3,6.5999347246486675
21008004: Ward 4,17.352629814549978
21008005: Ward 5,16.424823615804716
21008006: Ward 6,23.800941918148908
21008007: Ward 7,14.527729459235141
21008008: Ward 8,7.763518132467689
21008009: Ward 9,18.776157787287705
21008010: Ward 10,20.26560793786787
21008011: Ward 11,8.76216429187262
21008012: Ward 12,12.325488995505681
21008013: Ward 13,15.445231524299132
21008014: Ward 14,14.2816276252818
21008015: Ward 15,15.482285395749757
21009001: Ward 1,16.93175547147291
21009002: Ward 2,12.911485554179968
21009003: Ward 3,17.352868578905355
21009004: Ward 4,14.777521414677317
21009005: Ward 5,17.60113347057986
21009006: Ward 6,16.546651087233307
21201001: Ward 1,26.778090292607626
21201002: Ward 2,34.196716753389744
21201003: Ward 3,38.27423321127341
21201004: Ward 4,38.80648480578072
21201005: Ward 5,37.64396864769656
21201006: Ward 6,38.21516707540254
21201007: Ward 7,36.9081693765873
21201008: Ward 8,35.50669678628718
21201009: Ward 9,32.754593049460034
21201010: Ward 10,36.239555419133815
21201011: Ward 11,37.67403837611038
21201012: Ward 12,38.218589261054596
21201013: Ward 13,31.472146421167725
21201014: Ward 14,41.456329991377515
21201015: Ward 15,40.00068386583366
21201016: Ward 16,42.08967816303964
21201017: Ward 17,39.07704461483184
21201018: Ward 18,40.80434632228504
21201019: Ward 19,36.584377799718524
21201020: Ward 20,42.17208230367569
21201021: Ward 21,36.42343389737236
21201022: Ward 22,40.659985536053284
21201023: Ward 23,37.890306246066004
21201024: Ward 24,35.01442240907995
21201025: Ward 25,29.008147076322402
21201026: Ward 26,43.499319891823184
21201027: Ward 27,35.124123203137685
21201028: Ward 28,34.87360174759051
21201029: Ward 29,34.60247298478329
21201030: Ward 30,35.94146569008328
21201031: Ward 31,40.469054255348475
21202001: Ward 1,22.825817672985234
21202002: Ward 2,27.16875371154823
21202003: Ward 3,26.169071072996744
21202004: Ward 4,24.25910779130985
21202005: Ward 5,28.919032301709407
21202006: Ward 6,29.906828829954197
21202007: Ward 7,32.16057141626576
21202008: Ward 8,36.047411974483786
21202009: Ward 9,32.40627941062251
